abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
,,,Moat Mountain Call it a Day Double IPA,25,Imperial IPA,Moat Mountain Smoke House & Brewing Company,,,3.93/5.0,97,15,NEW HAMPSHIRE,89,3.73
,"We don’t have many rules at Carton Brewing and those we have made for ourselves. In general though, we strive for drinkability through balance and harmonization of flavors. But even self-imposed rules are meant to be broken. With Epitome we decided to embrace the teenage metalhead in each of us and get discordant with a seriously hoppy, high gravity, black ale. The only notions accepted were to make it bigger, bolder, hotter, & faster. A Beast. The ABV had to push past 10, the black had to be ""none more,"" and the hops had to be American and piled on like a double bass drum kicking faster and harder. Drink Epitome because things worth doing are worth over doing.",,Carton Epitome,25,Black IPA,Carton Brewing,100,,/,97,51,NEW JERSEY,95,
9%,"Brewed with royalty in mind, no expense was spared in crafting our Imperial Red. Generous additions
of our favorite hop varieties blend harmoniously with long layers of dark caramel malts.",,Marble Imperial Red Ale,25,American Strong Ale,Marble Brewery,270,,/,95,71,NEW MEXICO,86,
,"Our standard Mylar Bags which is hopped with Amarillo, Galaxy, Citra, Mosaic and El Dorado and crushes it with Citra and Mosaic lupulin powders and more Galaxy",,Other Half Mylar Bags - Double Dry Hopped,25,Imperial IPA,Other Half Brewing,,255,/,100,56,NEW YORK,99,
,This intensely red beer begins life as Cosette Sour Blond. We pick through our sick choosing 5-12 month old barrels and then blend onto 1.75 pounds per gallon of fresh NC grown raspberries where it re-ferments on the fruit for 2 months.,,Wicked Weed Framboos Morte,25,Lambic Style - Fruit,Wicked Weed Brewing (AB-InBev),,174,3.98/5.0,99,22,NORTH CAROLINA,84,3.83
,Our Country Crab Apple Wine is one of our driest wines we produce. It is finished dry to bring out the refreshing tartness of the crab apple; it is even naturally loaded with anti-oxidants. A perfect wine to be served with seafood or white pasta dishes. Excellent with Shrimp Scampi. A wonderful selection of North Dakota crabapples includes dolgo and chestnut.,,Maple River Winery Country Crabapple Wine,25,Cider,Maple River Winery,,300,2.63/5.0,23,14,NORTH DAKOTA,29,2.67
,"Light, sweet, white wine with a surprisingly fruity character.",/upload/post.asp?m=1&Id=98235,Pointe of View Winery Sweet Honey Wine ,24,Mead,Pointe of View Winery,,393,2.75/5.0,28,15,NORTH DAKOTA,14,2.75
,Honey wine with an aromatic hint of Elderflowers.,,Pointe of View Winery Honey Wine with Elderflowers,23,Mead,Pointe of View Winery,,345,2.91/5.0,28,21,NORTH DAKOTA,20,2.91
4.5%,"Patterned after the rich, smooth, malty ales of Scotland, Stone’s Throw is dominated by caramel toffee, toasty malt, hints of cocoa, residual honey sweetness and just enough hops to keep this rock on the button. The perfect brew for someone new to craft beer. Cheers, skip!",,Fargo Stone's Throw Scottish Ale,22,Scottish Ale,Fargo Brewing Company,135,19,/,32,80,NORTH DAKOTA,27,
,"A blend of Honey wine and Black Currant wine. Introduced in 2006, it quickly became a favorite.",,Pointe of View Winery H2BC,21,Mead,Pointe of View Winery,,330,2.88/5.0,33,10,NORTH DAKOTA,21,2.83
6.3%,"Our Roustabout Oatmeal Milk Stout pours a beautiful, creamy black with a thick tan head that lasts in the glass, with an aroma filled with toasty malts and milk chocolate character. The body is beautifully smooth and rich, with very little bitterness and a subtle sweetness from milk sugar. The flavor is dominated by chocolate and coffee notes. The beer finishes smooth, sweet, and satisfying.",,Fargo Roustabout Stout,20,Sweet Stout,Fargo Brewing Company,189,22,2.96/5.0,34,19,NORTH DAKOTA,12,2.95
,"North Dakota is #1 many years in honey production. We
use North Dakota honey and apples to make this semi-sweet white wine. Very
similar to a Riesling grape wine. Initial honey taste followed by apple. The North
Dakota honey predominantly comes from Alfalfa and Clover fields. Enjoy chilled.",,Maple River Winery Honey Apple Wine,19,Mead,Maple River Winery,,300,/,39,68,NORTH DAKOTA,33,
7.3%,An Imperial Red Ale with a nice toasted malt backbone and a moderately bitter follow-through.,,Fargo Mighty Red,18,American Strong Ale,Fargo Brewing Company,219,55,3.1/5.0,40,10,NORTH DAKOTA,8,3.05
4.7%,"An American-style wheat beer with a light crisp flavor and and an essence of strawberry.  We use an American style wheat yeast with subdued flavor profiles, allowing light citrus aromas to emerge from the Centennial hops and even out the hint of strawberry flavor.",,Laughing Sun Strawberry Wheat,17,Fruit Beer,Laughing Sun Brewing Company,141,25,3.11/5.0,41,15,NORTH DAKOTA,65,3.07
5.2%,"The Wind Swept pours a cloudy straw color with a thick, white, creamy head. The aroma and flavor dominated by sweet orange peel and coriander with a refreshing sweetness. It is light, crisp and smooth. The perfect beer for the hot summer months.",,Fargo Wind Swept Belgian Witbier,16,Witbier,Fargo Brewing Company,156,14,3.14/5.0,43,19,NORTH DAKOTA,58,3.11
5.1%,"This pale golden lager is patterned after some of our favorite classic German lagers. It pours a very light gold color that is brilliantly clear and is capped with a white head. The aroma is a blend of grainy Pilsner malt, light fruit esters from the lager yeast, and some subtle spicy hop notes. The flavor is crisp and clean, balancing slightly sweet and cracker-like malt with a subdued bitterness and a touch of hop character. The result is a highly drinkable, clean and crisp lager that is fast becoming a brewery favorite.",/upload/post.asp?m=1&Id=348737,Fargo Original Pale Lager,15,Pale Lager,Fargo Brewing Company,153,15,3.17/5.0,44,12,NORTH DAKOTA,99,3.11
,Oktoberfest Lager,,Fargo O'Fest Oktoberfest Lager,14,Oktoberfest/Märzen,Fargo Brewing Company,24,,3.13/5.0,45,30,NORTH DAKOTA,77,3.11
,"Our Belgian Golden Strong Ale takes it name from the light pear flavors imparted by the Belgian yeast esters and the sinister nature of these styles of ales. Easy drinking from  the Pilsener malt profile, this refreshing ale packs a punch with the additions of raw sugar to the boil kettle. A light hop flavor balances the alcohol, and melds perfectly with the pear flavors.",,Laughing Sun Sinister Pear,13,Belgian Strong Ale,Laughing Sun Brewing Company,30,,3.22/5.0,46,12,NORTH DAKOTA,31,3.15
5.5%,"ESB, Munich, Crystal, and pacific northwest malts. Floral, citrus, and tropical tones of grapefruit will leave you with an aromatic experience.",,Rhombus Guys Invincible Pale Ale,12,American Pale Ale,Rhombus Guys Brewing Company,165,32,3.29/5.0,48,9,NORTH DAKOTA,,3.18
6.7%,"This classic American IPA showcases an aromatic, bold hop flavor. Horizon hops and oats provide a sleek, velvety body and balanced bitterness while two pounds per barrel of dry hopping offer initial waves of citrus and pine. We’d give our left foot for another pint!",,Fargo Wood Chipper IPA,11,India Pale Ale (IPA),Fargo Brewing Company,201,70,/,58,108,NORTH DAKOTA,38,
,"A semi-sweet cider, made from up to 7 different varieties of locally grown and harvested apples. Very popular.",,Pointe of View Winery Apple Wine,10,Cider,Pointe of View Winery,,300,3.29/5.0,59,13,NORTH DAKOTA,86,3.12
,"A perfect blend of wild plums and smooth North Dakota 
honey provide for this well-balanced sweet blush dessert wine. An initial tartness
from the wild plums followed by the sweet taste of North Dakota honey. Serve chilled.",/upload/post.asp?m=1&Id=96335,Maple River Winery Honeycomb Plum,9,Mead,Maple River Winery,,300,3.32/5.0,60,31,NORTH DAKOTA,52,3.27
6.5%,"This American Style Robust Porter has a complex roast flavor with chocolate and coffee overtones.  We make our porter with a combination of American 2-Row barley and a number of speciality malts, including chocolate malt, a variety of Crystal malts, and oats.  American Style yeast gives this beer a clean flavor profile, and allows the Cascade hops to balance the roast flavors of the more highly kilned malts.",,Laughing Sun Black Shox Porter,8,Porter,Laughing Sun Brewing Company,195,55,3.41/5.0,69,15,NORTH DAKOTA,50,3.32
,"Coconut Killer is the first in our Valhalla Series, which is basically all the weird stuff our brewers dream up and want to try so we let them brew what they want.
Based on a hazy, New England Style IPA, Coconut Killer starts with the juicy, tropical fruit flavors from loads of Mosaic & Mandarina Bavaria hops, and then gives way to the rich vanilla and toasted coconut that were added in abundance. It’s also brewed with loads of oats and lactose sugar to give it a ridiculously smooth, creamy body.",/upload/post.asp?m=1&Id=501416,Drekker Coconut Killer,7,India Pale Ale (IPA),Drekker Brewing Company,40,,3.5/5.0,70,10,NORTH DAKOTA,47,3.34
6.1%,"Sodbuster Porter is a beautifully balanced, robust beer that pours black with a thick tan head. Dominated by coffee, chocolate, roast, and faint hints of smoke; this porter is rich and full on the palate, providing you with the fortitude to make it through North Dakota winters.",,Fargo Sodbuster Porter,6,Porter,Fargo Brewing Company,183,29,/,73,75,NORTH DAKOTA,59,
,A Norsk favorite cyser. Popular with others as well. A blend of honey and apple wines.,,Pointe of View Winery Viking Deed,5,Mead,Pointe of View Winery,,330,3.47/5.0,77,12,NORTH DAKOTA,73,3.34
5.5%,"The New England-style IPA is a very new and uniquely American style of IPA. What sets these IPAs apart from the more established West Coast IPA and traditional English IPA is the shift from bitter, piney hop flavor to less bitter, juicy tropical fruit flavors and the use of oats, wheat, and other ingredients to give the beer a noticably soft mouthfeel and a very hazy appearance.
Wheez the Juice uses a whole bunch of flaked wheat and oats to give it a soft, creamy mouthfeel and more than 3 pounds per barrel of Mosaic and Mandarina Bavaria hops make it burst with juicy, tropical fruit flavors and aromas with very little bitterness",/upload/post.asp?m=1&Id=497733,Drekker Wheez the Juice IPA,4,India Pale Ale (IPA),Drekker Brewing Company,165,59,3.53/5.0,83,25,NORTH DAKOTA,68,3.45
7.2%,"Our India Pale Ale takes it name from the exotic oils that might have been available to a Sultan of early trade routes.  Made from a combination of American 2-Row barley, Crystal and Munich malts, this IPA is well balanced with grapefruit and passion fruit citrus flavors and aromas.  American Ale yeast provides a clean background for the hops to stand out in this ale.",,Laughing Sun Feast Like a Sultan IPA,3,India Pale Ale (IPA),Laughing Sun Brewing Company,216,100,3.61/5.0,86,14,NORTH DAKOTA,74,3.47
5%,"Iron Horse Pale Ale is a boldly aromatic Northwest style pale ale. It pours a deep gold color with a thick white head that lingers in the glass. The first impression is the immense hop aroma that wafts out of the glass, thick with tropical fruit, floral, and grapefruit notes. Iron Horse makes for a great, sessionable, hoppy pale ale that makes hop lovers go crazy!",,Fargo Iron Horse Pale Ale,2,American Pale Ale,Fargo Brewing Company,150,32,/,86,68,NORTH DAKOTA,90,
9.5%,,,Fargo 1.21 Gigahops,1,Imperial IPA,Fargo Brewing Company,285,100,3.77/5.0,91,12,NORTH DAKOTA,58,3.57
6.8%,"This mouth watering stout is brewed with organic, fair-trade coffee beans from Asheville Coffee Roasters and weighs in at a respectable 6.8%. The aroma of fresh coffee leaps from the glass, and finishes slightly dry. Treat yourself to the finest coffee stout this season.",,Pisgah Valdez,24,Stout,Pisgah Brewing Company,204,,/,99,202,NORTH CAROLINA,100,
,Oblivion is a Sour Red ale aged with blackberries and dates in red wine barrels for up to 12 months. This ale is then carefully blended to create depth and balance that will envelope you in its complexity.,,Wicked Weed Oblivion Sour Red,23,Sour Red/Brown,Wicked Weed Brewing (AB-InBev),,255,/,99,229,NORTH CAROLINA,95,
7.2%,"For us this is where it all started! The rich golden color comes from a blend of English and American base malts accented with substantial amounts of Victory and Wheat malt. The American citrus hops take center stage with emphasis on late boil additions of Citra and Amarillo. This signature ale is hopped before, during, and after the boil!",,"NoDa Hop, Drop 'n Roll IPA",22,India Pale Ale (IPA),NoDa Brewing Company,216,81,/,99,249,NORTH CAROLINA,99,
9.5%,"Xibalba is our pumpkin ale, brewed with cacao nib, ancho, serrano, and habenaro chiles with fall spices. This version has been Bourbon barrel aged with ancho chiles, cacao nibs, vanilla and pumpkin spices.",,Wicked Weed Barrel Aged Xibalba,21,Spice/Herb/Vegetable,Wicked Weed Brewing (AB-InBev),285,,3.98/5.0,99,25,NORTH CAROLINA,100,3.84
,"Golden Angel is an American sour. This ale is blended with one pound per gallon of apricots and aged in red wine barrels. After eight months of rest on oak, another pound and a half per gallon of apricots are blended in stainless steel tanks for two months. After a ton of fruit and a total of 10 months of maturation, we give you Golden Angel.",,Wicked Weed Golden Angel,20,Sour/Wild Ale,Wicked Weed Brewing (AB-InBev),,210,/,99,65,NORTH CAROLINA,95,
,"Celebrate the anniversary of Pop the Cap with our GABF Gold and Silver award winning Baltic Porter. Brewed only once before, and now bottled in a limited, commemorative edition only available at Sam’s Quick Shop and Foothills. Our Baltic Porter is the perfect way to celebrate NC craft brewing and this special anniversary.",,Foothills Baltic Porter,19,Baltic Porter,Foothills Brewing,52,,/,99,148,NORTH CAROLINA,96,
11.4%,"This triple IPA is brewed once a year and released during Asheville Beer Week. With 94 lbs of hops in only 11 barrels of beer, this exceeds the definition of a hoppy beer. We dry hop this beer here separate times with a blend of Centennial, Simcoe, Amarillo and Mosaic hops to create a tropical fruit explosion of deliciousness.",/upload/post.asp?m=1&Id=267639,Wicked Weed M�nage-a-Freak,18,Imperial IPA,Wicked Weed Brewing (AB-InBev),342,,3.97/5.0,99,29,NORTH CAROLINA,97,3.85
,"Bramble Barrel is an American sour ale inspired by the Gin Bramble cocktail. This beer was brewed with a pound and a half per gallon of local blackberries and aged in NC made Cardinal Gin barrels, which contribute the essence of spearmint. Finished with fresh lemon zest, this sour is best served unshaken and unstirred. Cheers.",,Wicked Weed Bramble Barrel,17,Sour/Wild Ale,Wicked Weed Brewing (AB-InBev),,234,/,99,62,NORTH CAROLINA,96,
